index_code,trade_date,open,high,low,close,volume,amount,source,run_id,update_time
000300,2023-01-03,3864.836,3893.99,3831.245,3887.899,11505187500,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-04,3886.25,3905.903,3873.655,3892.948,11066074300,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-05,3913.493,3974.875,3912.26,3968.578,11650239500,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-06,3969.549,4000.414,3966.47,3980.889,11095303800,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-09,3998.528,4023.09,3990.707,4013.12,11705442500,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-10,4014.713,4030.457,4002.23,4017.474,10175114100,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-11,4019.884,4043.399,4008.015,4010.031,9999788900,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-12,4021.755,4030.288,4003.508,4017.869,9055262700,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-13,4032.291,4074.377,4027.886,4074.377,9587189600,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-16,4077.879,4177.104,4076.639,4137.964,15139545500,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-17,4138.843,4148.584,4118.157,4137.242,9547904000,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
000300,2023-01-18,4140.102,4151.458,4125.769,4130.314,8420064500,,akshare.stock_zh_index_daily,week1_data_engineer_20260707_20260707T210023,2026-07-07T21:01:03
