symbol,exchange,stock_name,list_date,delist_date,is_active,source,run_id,update_time
000088,SZ,盐 田 港,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000089,SZ,深圳机场,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000090,SZ,天健集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000096,SZ,广聚能源,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000099,SZ,中信海直,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000100,SZ,TCL科技,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000151,SZ,中成股份,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000153,SZ,丰原药业,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000155,SZ,川能动力,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000156,SZ,华数传媒,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000157,SZ,中联重科,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000158,SZ,常山北明,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000159,SZ,国际实业,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000166,SZ,申万宏源,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000301,SZ,东方盛虹,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000333,SZ,美的集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000338,SZ,潍柴动力,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000400,SZ,许继电气,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000401,SZ,金隅冀东,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000402,SZ,金 融 街,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000403,SZ,派林生物,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000404,SZ,长虹华意,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000407,SZ,胜利股份,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000408,SZ,藏格矿业,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000409,SZ,云鼎科技,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000410,SZ,沈阳机床,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000411,SZ,英特集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000415,SZ,渤海租赁,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000417,SZ,合百集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000419,SZ,通程控股,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000420,SZ,吉林化纤,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000421,SZ,南京公用,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
